epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,9219.01,0.96271,0.55411,0.01401,0.93023,0.89912,0.95797,0.76262,0.79503,0.38672,0.01464,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,9311.49,0.96308,0.55407,0.01396,0.92653,0.90126,0.95796,0.76298,0.7947,0.38677,0.01464,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,9407.12,0.96632,0.55259,0.0139,0.92938,0.89898,0.95808,0.76295,0.79402,0.38616,0.01463,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,9503.82,0.95407,0.54124,0.01386,0.93293,0.8986,0.95824,0.76359,0.79355,0.38581,0.01462,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,9600.2,0.95362,0.54039,0.01375,0.9304,0.89998,0.95821,0.76343,0.79311,0.38623,0.01461,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,9697.04,0.95668,0.54768,0.01377,0.93033,0.89984,0.95813,0.76348,0.79263,0.38679,0.0146,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,9795.08,0.94834,0.54309,0.01375,0.92929,0.9006,0.95807,0.76342,0.79266,0.38544,0.0146,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,9892.49,0.94615,0.54247,0.01373,0.93433,0.89823,0.95818,0.76356,0.79208,0.38495,0.01459,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,9989.98,0.95027,0.53905,0.01361,0.9351,0.89869,0.95833,0.76364,0.79189,0.38397,0.01459,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,10087.2,0.94272,0.53899,0.01352,0.93672,0.89855,0.95841,0.76411,0.79118,0.38357,0.01457,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,10183.4,0.94153,0.53169,0.01355,0.93456,0.90042,0.95846,0.7644,0.79103,0.38351,0.01457,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,10280,0.93722,0.53041,0.01348,0.93367,0.89941,0.95837,0.76416,0.79088,0.38354,0.01457,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,10376.8,0.93613,0.53619,0.01344,0.93508,0.89914,0.95873,0.76465,0.79058,0.38264,0.01457,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,10473.8,0.9259,0.52556,0.01325,0.93666,0.89812,0.9589,0.7648,0.79122,0.38076,0.01458,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
