epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
116,9021.3,0.82243,0.4908,1.05506,0.92426,0.91006,0.9601,0.76246,0.75055,0.36573,0.93918,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,9101.41,0.82504,0.48892,1.06052,0.92634,0.90847,0.9601,0.76261,0.75031,0.36534,0.93903,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,9186.76,0.82157,0.49044,1.05857,0.92594,0.90848,0.95999,0.76251,0.74997,0.36495,0.93895,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,9271.95,0.81302,0.48696,1.05245,0.9253,0.90906,0.95998,0.76267,0.74973,0.36457,0.93884,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,9354.06,0.80933,0.48023,1.04921,0.92606,0.90833,0.96,0.76296,0.74933,0.36436,0.9385,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,9437.22,0.81701,0.48428,1.05284,0.92839,0.9062,0.96012,0.76331,0.74891,0.36414,0.93821,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,9517.57,0.80579,0.4784,1.04901,0.92601,0.90923,0.96019,0.76282,0.74859,0.36364,0.93794,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,9599.54,0.8097,0.4831,1.05123,0.92786,0.90889,0.96027,0.76347,0.74838,0.36329,0.93787,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,9678.65,0.80784,0.48002,1.05291,0.92748,0.90917,0.96033,0.76323,0.74792,0.36304,0.93754,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,9763.52,0.8026,0.47427,1.04795,0.92813,0.90849,0.96037,0.76337,0.74754,0.36276,0.93733,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,9842.71,0.79904,0.47331,1.04903,0.92788,0.90904,0.96047,0.76378,0.74729,0.36254,0.93717,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,9924.66,0.79682,0.47519,1.04431,0.92851,0.90833,0.95987,0.76399,0.74694,0.36224,0.93695,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,10009.7,0.79735,0.47032,1.04403,0.92843,0.90912,0.95995,0.7642,0.74667,0.36182,0.93665,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,10093.8,0.79944,0.47037,1.04422,0.92868,0.90954,0.96005,0.76457,0.74643,0.36121,0.93643,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,10174.2,0.79021,0.46614,1.0396,0.92893,0.90903,0.96097,0.76473,0.74626,0.36088,0.9362,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,10256.2,0.78874,0.46288,1.03601,0.92915,0.90892,0.9611,0.76503,0.74596,0.36068,0.93593,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,10336.9,0.79366,0.46298,1.03973,0.9289,0.90932,0.96118,0.76485,0.7457,0.36035,0.93568,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,10411.5,0.78883,0.46452,1.04115,0.92992,0.90797,0.96117,0.76525,0.74553,0.35994,0.93563,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,10489.5,0.78577,0.46207,1.0401,0.92912,0.90777,0.96121,0.76525,0.74526,0.35951,0.93543,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,10568.1,0.78598,0.46357,1.04188,0.93013,0.90638,0.96113,0.76528,0.74505,0.35922,0.93536,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,10644.6,0.78288,0.45728,1.03991,0.93145,0.90555,0.9613,0.76553,0.74493,0.35888,0.93534,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
